IdConglomerado,Anio,Estado,Municipio,Formato,Tipo_cgl,Veg_prim_levantada,Veg_sec_levantada,Veg_prim_esperada,Veg_sec_esperada,Latitud,Longitud,X,Y,Altitud,Sitio,Registro,Arbol,Genero_Especie,forma_biologica,Condicion,NomComun,DiametroNormal,AlturaTotal,DiametroCopa,AlturaFusteLimpio,AlturaComercial,Distancia,Azimut
62762,2013,Colima,Armeria,Selva,Inicial,SMS,VSA,SMS,VSA,19 2 49.2,-103 57 30.9,-103.9585833333,19.0469996667,287,4,21,19,Alvaradoa amorphoides,Arbol,Vivo,Tamarindillo,13.9,10.5,5.3,3.3,-9999,3.16,46
62762,2013,Colima,Armeria,Selva,Inicial,SMS,VSA,SMS,VSA,19 2 49.2,-103 57 30.9,-103.9585833333,19.0469996667,287,4,23,21,Alvaradoa amorphoides,Arbol,Vivo,Tamarindillo,13.1,8.6,5.4,4.4,-9999,2.12,5
62762,2013,Colima,Armeria,Selva,Inicial,SMS,VSA,SMS,VSA,19 2 49.2,-103 57 30.9,-103.9585833333,19.0469996667,287,4,24,21,Alvaradoa amorphoides,Arbol,Vivo,Tamarindillo,14.3,7.9,5.2,3.7,-9999,2.36,15
62762,2013,Colima,Armeria,Selva,Inicial,SMS,VSA,SMS,VSA,19 2 50,-103 57 30,-103.9583333333,19.0472218889,287,1,7,5,Alvaradoa amorphoides,Arbol,Muerto en pie,Tamarindillo,16.4,6.2,-9999,0,-9999,17.17,265
57956,2013,Jalisco,Villa Purificacion,Bosque,Inicial,BQ,VSA,BQ,VSna,19 53 41.4,-104 49 58.9,-104.8330271111,19.894833,385,2,2,2,Sin especie Sin especie,NULL,Muerto en pie,NULL,10.2,1.7,-9999,0,-9999,8.2,175
57956,2013,Jalisco,Villa Purificacion,Bosque,Inicial,BQ,VSA,BQ,VSna,19 53 40.1,-104 49 59,-104.8330548889,19.8944718889,385,1,1,1,Sin especie Sin especie,NULL,Muerto en pie,NULL,39.1,1.5,-9999,0,-9999,5.8,12
53819,2013,Jalisco,Etzatlan,Bosque,Inicial,BQ,VSA,BQ,VSna,20 40 39.1,-104 4 41.9,-104.0783048889,20.6775271111,1765,1,29,27,Sin especie Sin especie,NULL,Tocon sin marca,NULL,16.4,1.2,-9999,0,-9999,10.77,141
53819,2013,Jalisco,Etzatlan,Bosque,Inicial,BQ,VSA,BQ,VSna,20 40 39.1,-104 4 41.9,-104.0783048889,20.6775271111,1765,1,35,32,Sin especie Sin especie,NULL,Tocon sin marca,NULL,14,0.3,-9999,0,-9999,10.33,208
53819,2013,Jalisco,Etzatlan,Bosque,Inicial,BQ,VSA,BQ,VSna,20 40 38.4,-104 4 43.3,-104.0786937778,20.6773326667,1765,4,7,7,Sin especie Sin especie,NULL,Muerto en pie,NULL,24.4,8.8,-9999,0,-9999,2,342
60506,2013,Jalisco,Tuxpan,Bosque,Inicial,BQ,VSA,BQ,VSA,19 27 41,-103 23 28,-103.3911107778,19.4613888889,1456,1,15,15,Sin especie Sin especie,NULL,Muerto en pie,NULL,9.6,4.9,-9999,0,-9999,9.09,207
54978,2013,Jalisco,Cabo Corrientes,Bosque,Inicial,BQP,VSA,BQP,VSna,20 25 39.5,-105 16 50.5,-105.2806937778,20.4276382222,864,1,2,2,Sin especie Sin especie,NULL,Muerto en pie,NULL,19.1,9,-9999,0,-9999,8.6,82
54271,2013,Jalisco,Mascota,Bosque,Inicial,BPQ,VSA,BPQ,VSna,20 34 43,-104 36 24,-104.6066666667,20.5786104444,1885,1,14,12,Sin especie Sin especie,NULL,Muerto en pie,NULL,11.1,2.9,-9999,0,-9999,11.71,180
54271,2013,Jalisco,Mascota,Bosque,Inicial,BPQ,VSA,BPQ,VSna,20 34 42,-104 36 22.7,-104.6063055556,20.5783326667,1885,3,4,4,Sin especie Sin especie,NULL,Tocon sin marca,NULL,49.7,0.1,-9999,0,-9999,11.24,124
54042,2013,Jalisco,Guachinango,Bosque,Inicial,BQ,VSA,BQ,VSna,20 37 35,-104 27 47,-104.4630555556,20.6263882222,1373,1,18,16,Bursera excelsa,Arbol,Vivo,Papelillo,10.7,3.7,3.5,1.7,1.7,11.1,350
63014,2013,Colima,Ixtlahuacan,Selva,Inicial,SMS,VSA,SMS,VSA,19 0 21.6,-103 37 35,-103.6263882222,19.006,819,1,6,6,Bursera excelsa,Arbol,Vivo,Copal,11.3,7.1,5.6,1.9,-9999,12.52,272
54737,2013,Jalisco,Talpa de Allende,Bosque,Inicial,BQ,VSA,BQ,VSna,20 28 40.3,-105 8 2.1,-105.1339163333,20.4778604444,989,3,10,9,Bernoullia flammea,Arbol,Vivo,Platanillo,16.2,10.4,4.1,4.7,7.3,9.5,42
54737,2013,Jalisco,Talpa de Allende,Bosque,Inicial,BQ,VSA,BQ,VSna,20 28 40.3,-105 8 2.1,-105.1339163333,20.4778604444,989,3,11,10,Bernoullia flammea,Arbol,Vivo,Platanillo,22.4,9.5,4.7,1.4,4.9,8.6,50
54737,2013,Jalisco,Talpa de Allende,Bosque,Inicial,BQ,VSA,BQ,VSna,20 28 40.3,-105 8 2.1,-105.1339163333,20.4778604444,989,3,21,20,Bernoullia flammea,Arbol,Vivo,Platanillo,7.8,6.3,3.9,3.6,0,6.3,277
54737,2013,Jalisco,Talpa de Allende,Bosque,Inicial,BQ,VSA,BQ,VSna,20 28 40.3,-105 8 2.1,-105.1339163333,20.4778604444,989,3,25,24,Bernoullia flammea,Arbol,Vivo,Platamillo,29.9,7,5.1,4.1,5.7,8.7,335
